
"AMD uProf (Version:5.3.518.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"./build/tsunami_lab"
Command Line Arguments:,"args=utilities/args/argsDambreak1d.yml "
Working Directory:,"/home/philipp/uni/tsunami_lab"
Environment Variables:
CPU Details:,"Family(0x1a), Model(0x60), Number of Cores(16)"
Operating System:,"Linux Arch Linux-64 Kernel:7.0.9-arch1-1"
Profile Command:,"./AMDuProfCLI profile ./build/tsunami_lab args=utilities/args/argsDambreak1d.yml"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-15"
CPU Affinity Mask:,"0-15"
Profile Start Time:,"Sat Jul  4 23:06:45 2026"
Profile End Time:,"Sat Jul  4 23:06:53 2026"
Profile Duration:,"7.561 seconds"
Data Folder:,"/home/philipp/uni/tsunami_lab/AMDuProf-tsunami_lab-TBP_Jul-04-2026_23-06-45"
Virtual Machine:,"No"
Call Stack Sampling:,"False"
Selected View:,"Time based hotspots"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","1.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."


APPLICATION PERFORMANCE SNAPSHOT
Thread Count,"10"


"10 HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME" (seconds),Module
"tsunami_lab::solvers::Fwave::netUpdates(float, float, float, float, float, float, float, float, bool, float*, float*)",16.4620,"/home/philipp/uni/tsunami_lab/build/tsunami_lab"
"tsunami_lab::patches::WavePropagation2d::timeStep(float) [clone ._omp_fn.0]",13.4950,"/home/philipp/uni/tsunami_lab/build/tsunami_lab"
"tsunami_lab::solvers::Hybrid::netUpdates(float, float, float, float, float, float, float, float, bool, float*, float*)",4.3410,"/home/philipp/uni/tsunami_lab/build/tsunami_lab"
"cbrtf",2.0600,"/usr/lib/libm.so.6"
"libgomp.so.1.0.0!0x25e52",1.5380,"/usr/lib/libgomp.so.1.0.0"
"tsunami_lab::setups::TsunamiEvent2d::getHeight(float, float) const",0.6160,"/home/philipp/uni/tsunami_lab/build/tsunami_lab"
"tsunami_lab::setups::TsunamiEvent2d::getBathymetry(float, float) const",0.4450,"/home/philipp/uni/tsunami_lab/build/tsunami_lab"
"roundf32",0.3290,"/usr/lib/libm.so.6"
"main._omp_fn.0.lto_priv.0",0.2860,"/home/philipp/uni/tsunami_lab/build/tsunami_lab"
"adler32_z",0.1080,"/usr/lib/libz.so.1.3.2"

"10 HOTTEST PROCESSES (Sort Event - CPU_TIME)"
PROCESS,"CPU_TIME" (seconds)
"/home/philipp/uni/tsunami_lab/build/tsunami_lab (PID:1364146)",40.6610
"sh (PID:1364155)",0.0010

"10 HOTTEST MODULES (Sort Event - CPU_TIME)"
MODULE,"CPU_TIME" (seconds)
"/home/philipp/uni/tsunami_lab/build/tsunami_lab",35.8540
"/usr/lib/libm.so.6",2.3890
"/usr/lib/libgomp.so.1.0.0",1.6090
"/usr/lib/libz.so.1.3.2",0.5040
"[kernel.kallsyms]_text",0.1450
"/usr/lib/libhdf5.so.320.1.1",0.0960
"/usr/lib/libc.so.6",0.0600
"/usr/lib/ld-linux-x86-64.so.2",0.0050

"10 HOTTEST THREADS (Sort Event - CPU_TIME)"
THREAD,"CPU_TIME" (seconds),THREAD ID
"Thread-1364160 (PID:1364146)",5.6980,"1364160"
"Thread-1364158 (PID:1364146)",5.6650,"1364158"
"Thread-1364162 (PID:1364146)",5.6460,"1364162"
"Thread-1364164 (PID:1364146)",5.6000,"1364164"
"tsunami_lab (PID:1364146)",5.2090,"1364146"
"Thread-1364159 (PID:1364146)",4.3570,"1364159"
"Thread-1364161 (PID:1364146)",4.2700,"1364161"
"Thread-1364163 (PID:1364146)",4.2160,"1364163"
"sh (PID:1364155)",0.0010,"1364155"
