x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-5.92602e-07,-20
625,125,20,-1.79139e-06,-20
875,125,20,-3.03072e-06,-20
1125,125,20,-4.33694e-06,-20
1375,125,20,-5.73534e-06,-20
1625,125,20,-7.2498e-06,-20
1875,125,20,-8.90241e-06,-20
2125,125,20,-1.07131e-05,-20
2375,125,20,-1.26994e-05,-20
2625,125,20,-1.48762e-05,-20
2875,125,20,-1.72552e-05,-20
3125,125,20,-1.98449e-05,-20
3375,125,20,-2.26458e-05,-20
3625,125,20,-2.5604e-05,-20
3875,125,20,-2.81309e-05,-20
4125,125,21.0057,-1.88344e-05,-21.0057
4375,125,23.0257,5.40347e-05,-23.0257
4625,125,24.3499,0.000338389,-24.3499
4875,125,25.3049,0.000799333,-25.3049
5125,125,25.9801,0.00137507,-25.9802
5375,125,27.0446,0.00243383,-27.0448
5625,125,28.4555,0.00395392,-28.4558
5875,125,30.2336,0.00553442,-30.234
6125,125,32.9771,0.00660536,-32.9776
6375,125,35.2838,0.00733319,-35.2843
6625,125,37.0541,0.00829194,-37.0547
6875,125,37.3771,0.009546,-37.3778
7125,125,38.6638,0.0116929,-38.6646
7375,125,40.2257,0.0147043,-40.2267
7625,125,41.2584,0.0179237,-41.2595
7875,125,41.5221,0.0211492,-41.5234
8125,125,41.7917,0.0243947,-41.7932
8375,125,42.7926,0.0277228,-42.7942
8625,125,44.3573,0.0311007,-44.3591
8875,125,45.5214,0.034468,-45.5234
9125,125,45.5213,0.0378746,-45.5234
9375,125,46.3665,0.0414475,-46.3688
9625,125,48.381,0.045386,-48.3835
9875,125,52.1255,0.0502209,-52.1282
10125,125,53.4444,0.0558524,-53.4473
10375,125,54.6125,0.0624467,-54.6156
10625,125,55.9681,0.0699897,-55.9716
10875,125,57.934,0.0777487,-57.9378
11125,125,59.3291,0.0855293,-59.3332
11375,125,60.0385,0.09331,-60.0429
11625,125,61.6803,0.101221,-61.685
11875,125,63.3437,0.109208,-63.3487
12125,125,64.9793,0.116355,-64.9847
12375,125,65.6888,0.122688,-65.6944
12625,125,68.4763,0.128998,-68.4823
12875,125,72.4905,0.135126,-72.4967
13125,125,73.2,0.140993,-73.2065
13375,125,73.7093,0.146824,-73.7161
13625,125,74.329,0.152939,-74.3361
13875,125,76.3309,0.159366,-76.3382
14125,125,77.7264,0.166048,-77.734
14375,125,79.1305,0.173184,-79.1383
14625,125,81.8104,0.180712,-81.8184
14875,125,83.5376,0.188341,-83.5458
15125,125,84.8855,0.196119,-84.894
15375,125,86.2094,0.204025,-86.2182
15625,125,87.8064,0.212697,-87.8154
15875,125,89.2948,0.223026,-89.3041
16125,125,90.3273,0.234352,-90.337
16375,125,91.9154,0.246032,-91.9254
16625,125,93.8484,0.259379,-93.8587
16875,125,96.2049,0.27529,-96.2157
17125,125,97.9995,0.294279,-98.0109
17375,125,99.6971,0.317308,-99.7092
17625,125,101.375,0.345359,-101.388
17875,125,102.756,0.380054,-102.77
18125,125,104.398,0.423095,-104.413
18375,125,106.399,0.477072,-106.415
18625,125,108.116,0.545005,-108.135
18875,125,109.314,0.630299,-109.335
19125,125,109.983,0.73748,-110.008
19375,125,110.366,0.871896,-110.394
19625,125,111.275,1.04056,-111.309
19875,125,112.575,1.2511,-112.615
20125,125,113.214,1.51158,-113.261
20375,125,113.851,1.83167,-113.908
20625,125,114.693,2.22223,-114.762
20875,125,117.068,2.69557,-117.151
21125,125,119.004,3.26577,-119.103
21375,125,120.575,3.94746,-120.693
21625,125,121.553,4.75561,-121.694
21875,125,122.078,5.70807,-122.246
22125,125,122.465,6.8249,-122.665
22375,125,123.074,8.12628,-123.311
22625,125,123.46,9.63243,-123.741
22875,125,123.853,11.3655,-124.183
23125,125,124.474,13.3457,-124.861
23375,125,124.549,15.5934,-125
23625,125,124.694,18.1327,-125.217
23875,125,125.29,20.9836,-125.895
24125,125,125.878,24.1624,-126.573
24375,125,126.456,27.6842,-127.25
24625,125,127.025,31.5593,-127.928
24875,125,126.976,35.7981,-128
25125,125,126.994,40.4109,-128.149
25375,125,127.207,45.4016,-128.504
25625,125,127.685,50.7671,-129.134
25875,125,128.184,56.4983,-129.795
26125,125,128.69,62.5812,-130.473
26375,125,129.188,68.9988,-131.151
26625,125,129.861,75.7263,-132.013
26875,125,130.697,82.7277,-133.044
27125,125,131.496,89.9601,-134.046
27375,125,132.31,97.3731,-135.065
27625,125,133.101,104.905,-136.064
27875,125,133.569,112.486,-136.742
28125,125,134.039,120.038,-137.42
28375,125,134.414,127.463,-138
28625,125,134.215,134.654,-138
28875,125,134.242,141.49,-138.216
29125,125,134.327,147.821,-138.477
29375,125,134.17,153.475,-138.477
29625,125,134.038,158.261,-138.477
29875,125,133.936,161.955,-138.477
30125,125,133.872,164.306,-138.477
30375,125,134.103,165.037,-138.725
30625,125,134.368,163.851,-138.953
30875,125,134.468,160.437,-138.953
31125,125,134.639,154.49,-138.953
31375,125,134.89,145.723,-138.953
31625,125,135.226,133.906,-138.953
31875,125,135.65,118.891,-138.953
32125,125,136.289,100.667,-139.081
32375,125,137.203,79.3809,-139.404
32625,125,138.512,55.3814,-140.053
32875,125,139.6,29.216,-140.43
33125,125,140.346,1.55152,-140.43
33375,125,141.76,-26.81,-141.087
33625,125,142.847,-54.9874,-141.43
33875,125,143.566,-82.1625,-141.437
34125,125,144.582,-107.598,-141.791
34375,125,145.706,-130.678,-142.322
34625,125,146.879,-150.954,-142.978
34875,125,147.668,-168.159,-143.333
35125,125,148.758,-182.187,-144.072
35375,125,150.231,-193.071,-145.277
35625,125,153.133,-200.938,-147.989
35875,125,154.63,-206.001,-149.37
36125,125,155.282,-208.523,-149.972
36375,125,155.662,-208.77,-150.358
36625,125,156.44,-207.008,-151.194
36875,125,157.373,-203.504,-152.227
37125,125,158.269,-198.518,-153.259
37375,125,158.894,-192.293,-154.052
37625,125,159.211,-185.054,-154.562
37875,125,158.965,-176.996,-154.53
38125,125,159.808,-168.294,-155.601
38375,125,160.926,-159.122,-156.957
38625,125,162.038,-149.636,-158.313
38875,125,162.847,-139.974,-159.369
39125,125,163.48,-130.26,-160.25
39375,125,163.913,-120.599,-160.928
39625,125,164.349,-111.087,-161.606
39875,125,164.643,-101.807,-162.136
40125,125,164.738,-92.8312,-162.459
40375,125,164.873,-84.2162,-162.812
40625,125,165.339,-76.0095,-163.485
40875,125,166.176,-68.2498,-164.518
41125,125,167.347,-60.9681,-165.872
41375,125,168.702,-54.1844,-167.396
41625,125,170.241,-47.9068,-169.09
41875,125,172.133,-42.1337,-171.124
