x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-5.75211e-07,-20
625,125,20,-1.73948e-06,-20
875,125,20,-2.9451e-06,-20
1125,125,20,-4.21892e-06,-20
1375,125,20,-5.58674e-06,-20
1625,125,20,-7.07293e-06,-20
1875,125,20,-8.70001e-06,-20
2125,125,20,-1.04883e-05,-20
2375,125,20,-1.24557e-05,-20
2625,125,20,-1.46172e-05,-20
2875,125,20,-1.69849e-05,-20
3125,125,20,-1.95679e-05,-20
3375,125,20,-2.23719e-05,-20
3625,125,20,-2.53995e-05,-20
3875,125,20,-2.86501e-05,-20
4125,125,21.0057,-2.66968e-05,-21.0057
4375,125,23.0257,-2.60527e-05,-23.0257
4625,125,24.3499,-3.36201e-05,-24.3499
4875,125,25.3049,-2.44632e-05,-25.3049
5125,125,25.9802,1.87909e-06,-25.9802
5375,125,27.0448,3.85667e-05,-27.0448
5625,125,28.4558,0.000188253,-28.4558
5875,125,30.2339,0.000625194,-30.234
6125,125,32.9775,0.00146624,-32.9776
6375,125,35.2842,0.0024671,-35.2843
6625,125,37.0545,0.0034219,-37.0547
6875,125,37.3775,0.00438636,-37.3778
7125,125,38.6642,0.00534612,-38.6646
7375,125,40.2262,0.00633235,-40.2267
7625,125,41.259,0.00742061,-41.2595
7875,125,41.5228,0.00892151,-41.5234
8125,125,41.7924,0.011432,-41.7932
8375,125,42.7933,0.0146117,-42.7942
8625,125,44.3581,0.017829,-44.3591
8875,125,45.5222,0.0210466,-45.5234
9125,125,45.522,0.0242878,-45.5234
9375,125,46.3672,0.0276427,-46.3688
9625,125,48.3817,0.0311094,-48.3835
9875,125,52.1263,0.034664,-52.1282
10125,125,53.4452,0.0382092,-53.4473
10375,125,54.6134,0.0416332,-54.6156
10625,125,55.9692,0.0449966,-55.9716
10875,125,57.9353,0.0488554,-57.9378
11125,125,59.3305,0.0538019,-59.3332
11375,125,60.0401,0.0600355,-60.0429
11625,125,61.6818,0.0673523,-61.685
11875,125,63.3452,0.0750353,-63.3487
12125,125,64.9808,0.0818839,-64.9847
12375,125,65.6903,0.0879487,-65.6944
12625,125,68.4779,0.0940472,-68.4823
12875,125,72.492,0.10003,-72.4967
13125,125,73.2015,0.105809,-73.2065
13375,125,73.7108,0.111593,-73.7161
13625,125,74.3306,0.117678,-74.3361
13875,125,76.3324,0.124043,-76.3382
14125,125,77.728,0.130616,-77.734
14375,125,79.1321,0.137587,-79.1383
14625,125,81.8119,0.144888,-81.8184
14875,125,83.5391,0.152255,-83.5458
15125,125,84.887,0.159722,-84.894
15375,125,86.2109,0.167177,-86.2182
15625,125,87.8079,0.17476,-87.8154
15875,125,89.2964,0.182563,-89.3041
16125,125,90.329,0.190296,-90.337
16375,125,91.9172,0.197888,-91.9254
16625,125,93.8503,0.205424,-93.8587
16875,125,96.2071,0.213234,-96.2157
17125,125,98.0021,0.221415,-98.0109
17375,125,99.7001,0.230897,-99.7092
17625,125,101.379,0.241799,-101.388
17875,125,102.76,0.253295,-102.77
