x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-4.03125e-07,-20
625,125,20,-1.22566e-06,-20
875,125,20,-2.09684e-06,-20
1125,125,20,-3.04846e-06,-20
1375,125,20,-4.11129e-06,-20
1625,125,20,-5.31467e-06,-20
1875,125,20,-6.68594e-06,-20
2125,125,20,-8.25001e-06,-20
2375,125,20,-1.00288e-05,-20
2625,125,20,-1.20406e-05,-20
2875,125,20,-1.42999e-05,-20
3125,125,20,-1.6817e-05,-20
3375,125,20,-1.95976e-05,-20
3625,125,20,-2.2643e-05,-20
3875,125,20,-2.59503e-05,-20
4125,125,21.0057,-2.4088e-05,-21.0057
4375,125,23.0257,-2.35625e-05,-23.0257
4625,125,24.3499,-3.12782e-05,-24.3499
4875,125,25.3049,-2.23858e-05,-25.3049
5125,125,25.9802,2.54362e-06,-25.9802
5375,125,27.0448,2.5007e-05,-27.0448
5625,125,28.4558,3.57212e-05,-28.4558
5875,125,30.234,2.26292e-05,-30.234
6125,125,32.9776,8.17501e-06,-32.9776
6375,125,35.2843,7.52221e-06,-35.2843
6625,125,37.0547,-9.38805e-06,-37.0547
6875,125,37.3778,-2.13243e-05,-37.3778
7125,125,38.6646,-4.72897e-06,-38.6646
7375,125,40.2267,-8.63572e-06,-40.2267
7625,125,41.2595,-3.08143e-05,-41.2595
7875,125,41.5234,-1.30561e-05,-41.5234
8125,125,41.7932,-2.13467e-06,-41.7932
8375,125,42.7942,-8.87457e-06,-42.7942
8625,125,44.3591,-2.58084e-05,-44.3591
8875,125,45.5234,-3.66188e-05,-45.5234
9125,125,45.5234,-9.7497e-06,-45.5234
9375,125,46.3688,1.27439e-05,-46.3688
9625,125,48.3835,2.50462e-05,-48.3835
9875,125,52.1282,2.60503e-05,-52.1282
10125,125,53.4473,3.78085e-05,-53.4473
10375,125,54.6156,4.15122e-05,-54.6156
10625,125,55.9716,8.49823e-06,-55.9716
10875,125,57.9378,1.47084e-05,-57.9378
11125,125,59.3332,5.89857e-05,-59.3332
11375,125,60.0429,7.38105e-05,-60.0429
11625,125,61.685,5.21896e-05,-61.685
11875,125,63.3487,3.81451e-05,-63.3487
12125,125,64.9847,2.24781e-06,-64.9847
12375,125,65.6944,2.67512e-06,-65.6944
12625,125,68.4823,2.43167e-05,-68.4823
12875,125,72.4967,-3.37208e-05,-72.4967
13125,125,73.2065,-4.7669e-05,-73.2065
13375,125,73.7161,-3.34057e-05,-73.7161
13625,125,74.3361,-0.0001169,-74.3361
13875,125,76.3382,-0.000160685,-76.3382
14125,125,77.734,-0.000146581,-77.734
14375,125,79.1383,-0.000172565,-79.1383
14625,125,81.8184,-0.000159473,-81.8184
14875,125,83.5458,-9.97748e-05,-83.5458
15125,125,84.894,-1.12747e-05,-84.894
15375,125,86.2182,2.13512e-05,-86.2182
15625,125,87.8154,-5.20433e-06,-87.8154
15875,125,89.3041,-7.08584e-06,-89.3041
16125,125,90.337,9.13542e-06,-90.337
16375,125,91.9254,6.76895e-05,-91.9254
16625,125,93.8587,0.000125257,-93.8587
16875,125,96.2157,0.000121763,-96.2157
17125,125,98.0109,6.64564e-05,-98.0109
17375,125,99.7092,4.65008e-05,-99.7092
17625,125,101.388,7.68339e-05,-101.388
17875,125,102.77,4.86622e-05,-102.77
18125,125,104.413,2.03101e-05,-104.413
18375,125,106.415,1.46213e-05,-106.415
18625,125,108.135,-8.16762e-05,-108.135
18875,125,109.335,-0.000177621,-109.335
19125,125,110.008,-0.000223157,-110.008
19375,125,110.394,-0.000348619,-110.394
19625,125,111.309,-0.000407211,-111.309
19875,125,112.615,-0.000369802,-112.615
20125,125,113.261,-0.000292203,-113.261
20375,125,113.908,-0.000236682,-113.908
20625,125,114.762,-0.000182985,-114.762
20875,125,117.151,-8.06799e-06,-117.151
21125,125,119.103,0.000252193,-119.103
21375,125,120.693,0.000359179,-120.693
21625,125,121.694,0.000361066,-121.694
21875,125,122.246,0.000766187,-122.246
22125,125,122.665,0.00212479,-122.665
