x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-3.40655e-11,20
625,125,20,-1.58241e-10,-20
875,125,20,-5.25351e-10,-20
1125,125,20,-1.62119e-09,-20
1375,125,20,-4.723e-09,-20
1625,125,20,-1.29911e-08,-20
1875,125,20,-3.37106e-08,-20
2125,125,20,-8.2482e-08,-20
2375,125,20,-1.90278e-07,-20
2625,125,20,-4.14034e-07,-20
2875,125,20,-8.50532e-07,-20
3125,125,20,-1.65147e-06,-20
3375,125,20,-3.03467e-06,-20
3625,125,20,-5.28193e-06,-20
3875,125,20,-8.70951e-06,-20
4125,125,21.0057,-8.15611e-06,-20
4375,125,23.0257,-1.01722e-05,-21.0057
4625,125,24.3499,-2.14497e-05,-23.0257
4875,125,25.3049,-1.67181e-05,-24.3499
5125,125,25.9802,4.07981e-06,-25.3049
5375,125,27.0448,2.31582e-05,-25.9802
5625,125,28.4558,3.18202e-05,-27.0448
5875,125,30.234,1.8262e-05,-28.4558
6125,125,32.9776,4.80508e-06,-30.234
6375,125,35.2843,6.21362e-06,-32.9776
6625,125,37.0547,-8.04971e-06,-35.2843
6875,125,37.3778,-1.71883e-05,-37.0547
7125,125,38.6646,1.97023e-06,-37.3778
7375,125,40.2267,8.39291e-08,-38.6646
7625,125,41.2595,-2.08001e-05,-40.2267
7875,125,41.5234,-2.59271e-06,-41.2595
8125,125,41.7932,7.82909e-06,-41.5234
8375,125,42.7942,-4.35244e-07,-41.7932
8625,125,44.3591,-1.99239e-05,-42.7942
8875,125,45.5234,-3.42464e-05,-44.3591
9125,125,45.5234,-1.17119e-05,-45.5234
9375,125,46.3688,5.87643e-06,-45.5234
9625,125,48.3835,1.3094e-05,-46.3688
9875,125,52.1282,9.26972e-06,-48.3835
10125,125,53.4473,1.6769e-05,-52.1282
10375,125,54.6156,1.70416e-05,-53.4473
10625,125,55.9716,-1.82698e-05,-54.6156
10875,125,57.9378,-1.29219e-05,-55.9716
11125,125,59.3332,3.22026e-05,-57.9378
11375,125,60.0429,4.98348e-05,-59.3332
11625,125,61.685,3.31593e-05,-60.0429
11875,125,63.3487,2.62286e-05,-61.685
12125,125,64.9847,-5.08613e-07,-63.3487
12375,125,65.6944,1.08471e-05,-64.9847
12625,125,68.4823,4.46093e-05,-65.6944
12875,125,72.4967,-1.00207e-06,-68.4823
13125,125,73.2065,-3.00737e-06,-72.4967
13375,125,73.7161,2.1882e-05,-73.2065
13625,125,74.3361,-5.33049e-05,-73.7161
13875,125,76.3382,-9.20197e-05,-74.3361
14125,125,77.734,-7.66941e-05,-76.3382
14375,125,79.1383,-0.000105537,-77.734
14625,125,81.8184,-9.91929e-05,-79.1383
14875,125,83.5458,-4.95465e-05,-81.8184
15125,125,84.894,2.64309e-05,-83.5458
15375,125,86.2182,4.51234e-05,-84.894
15625,125,87.8154,4.41755e-06,-86.2182
