x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-4.38758e-07,-20
625,125,20,-1.33211e-06,-20
875,125,20,-2.27276e-06,-20
1125,125,20,-3.29155e-06,-20
1375,125,20,-4.41824e-06,-20
1625,125,20,-5.68108e-06,-20
1875,125,20,-7.10634e-06,-20
2125,125,20,-8.71782e-06,-20
2375,125,20,-1.05364e-05,-20
2625,125,20,-1.25795e-05,-20
2875,125,20,-1.48611e-05,-20
3125,125,20,-1.7391e-05,-20
3375,125,20,-2.01749e-05,-20
3625,125,20,-2.32145e-05,-20
3875,125,20,-2.65075e-05,-20
4125,125,21.0057,-2.46237e-05,-21.0057
4375,125,23.0257,-2.40714e-05,-23.0257
4625,125,24.3499,-3.17565e-05,-24.3499
4875,125,25.3049,-2.28304e-05,-25.3049
5125,125,25.9802,2.13505e-06,-25.9802
5375,125,27.0448,2.46361e-05,-27.0448
5625,125,28.4558,3.53891e-05,-28.4558
5875,125,30.234,2.23366e-05,-30.234
6125,125,32.9776,7.92217e-06,-32.9776
6375,125,35.2843,7.30949e-06,-35.2843
6625,125,37.0547,-9.5599e-06,-37.0547
6875,125,37.3778,-2.14539e-05,-37.3778
7125,125,38.6646,-4.81517e-06,-38.6646
7375,125,40.2267,-8.67798e-06,-40.2267
7625,125,41.2595,-3.08128e-05,-41.2595
7875,125,41.5234,-1.30118e-05,-41.5234
8125,125,41.7932,-2.04959e-06,-41.7932
8375,125,42.7942,-8.7528e-06,-42.7942
8625,125,44.3591,-2.56561e-05,-44.3591
8875,125,45.5234,-3.64443e-05,-45.5234
9125,125,45.5234,-9.5631e-06,-45.5234
9375,125,46.3688,1.29307e-05,-46.3688
9625,125,48.3835,2.52196e-05,-48.3835
9875,125,52.1282,2.61959e-05,-52.1282
10125,125,53.4473,3.79117e-05,-53.4473
10375,125,54.6156,4.1558e-05,-54.6156
10625,125,55.9716,8.47216e-06,-55.9716
10875,125,57.9378,1.45971e-05,-57.9378
11125,125,59.3332,5.87777e-05,-59.3332
11375,125,60.0429,7.34954e-05,-60.0429
11625,125,61.685,5.17595e-05,-61.685
11875,125,63.3487,3.7595e-05,-63.3487
12125,125,64.9847,1.57519e-06,-64.9847
12375,125,65.6944,1.87933e-06,-65.6944
12625,125,68.4823,2.33998e-05,-68.4823
12875,125,72.4967,-3.47534e-05,-72.4967
13125,125,73.2065,-4.88117e-05,-73.2065
13375,125,73.7161,-3.46531e-05,-73.7161
13625,125,74.3361,-0.000118246,-74.3361
13875,125,76.3382,-0.000162122,-76.3382
14125,125,77.734,-0.000148103,-77.734
14375,125,79.1383,-0.000174166,-79.1383
14625,125,81.8184,-0.000161147,-81.8184
14875,125,83.5458,-0.000101515,-83.5458
15125,125,84.894,-1.30762e-05,-84.894
15375,125,86.2182,1.94929e-05,-86.2182
15625,125,87.8154,-7.11444e-06,-87.8154
15875,125,89.3041,-9.04207e-06,-89.3041
16125,125,90.337,7.13994e-06,-90.337
16375,125,91.9254,6.56637e-05,-91.9254
16625,125,93.8587,0.000123215,-93.8587
16875,125,96.2157,0.000119754,-96.2157
17125,125,98.0109,6.48137e-05,-98.0109
17375,125,99.7092,4.81793e-05,-99.7092
17625,125,101.388,0.000109456,-101.388
17875,125,102.77,0.000381419,-102.77
18125,125,104.413,0.00154512,-104.413
18375,125,106.415,0.0035007,-106.415
18625,125,108.135,0.00547028,-108.135
18875,125,109.335,0.00726411,-109.335
19125,125,110.007,0.00907049,-110.008
19375,125,110.394,0.0110611,-110.394
19625,125,111.308,0.0129672,-111.309
19875,125,112.615,0.0147651,-112.615
20125,125,113.261,0.0166569,-113.261
20375,125,113.907,0.0186502,-113.908
20625,125,114.761,0.0210923,-114.762
20875,125,117.15,0.0255143,-117.151
21125,125,119.101,0.0316478,-119.103
21375,125,120.692,0.037894,-120.693
21625,125,121.693,0.0441989,-121.694
21875,125,122.245,0.0505972,-122.246
22125,125,122.663,0.057032,-122.665
22375,125,123.309,0.0633487,-123.311
22625,125,123.738,0.0695602,-123.741
22875,125,124.18,0.0757622,-124.183
23125,125,124.858,0.0819298,-124.861
23375,125,124.997,0.0880969,-125
23625,125,125.213,0.0943033,-125.217
23875,125,125.891,0.100619,-125.895
24125,125,126.569,0.107002,-126.573
24375,125,127.247,0.113335,-127.25
24625,125,127.925,0.119607,-127.928
24875,125,127.996,0.125895,-128
25125,125,128.145,0.130117,-128.149
25375,125,128.499,0.132144,-128.504
25625,125,129.129,0.134143,-129.134
25875,125,129.79,0.136312,-129.795
26125,125,130.468,0.138614,-130.473
26375,125,131.145,0.14096,-131.151
26625,125,132.008,0.143235,-132.013
26875,125,133.039,0.145466,-133.044
27125,125,134.04,0.147792,-134.046
27375,125,135.059,0.150141,-135.065
27625,125,136.058,0.152505,-136.064
27875,125,136.736,0.155448,-136.742
28125,125,137.413,0.159126,-137.42
28375,125,137.993,0.163081,-138
28625,125,137.993,0.167201,-138
28875,125,138.209,0.171914,-138.216
29125,125,138.469,0.179458,-138.477
29375,125,138.469,0.190734,-138.477
29625,125,138.469,0.203342,-138.477
29875,125,138.468,0.216,-138.477
30125,125,138.468,0.228867,-138.477
30375,125,138.716,0.241437,-138.725
30625,125,138.944,0.253724,-138.953
30875,125,138.943,0.266226,-138.953
31125,125,138.943,0.278956,-138.953
31375,125,138.943,0.292025,-138.953
31625,125,138.942,0.305417,-138.953
31875,125,138.942,0.321746,-138.953
32125,125,139.069,0.342376,-139.081
32375,125,139.391,0.367808,-139.404
32625,125,140.04,0.399791,-140.053
32875,125,140.415,0.439501,-140.43
33125,125,140.414,0.48914,-140.43
33375,125,141.069,0.551436,-141.087
33625,125,141.41,0.630343,-141.43
33875,125,141.414,0.73052,-141.437
34125,125,141.766,0.857563,-141.791
34375,125,142.292,1.01898,-142.322
34625,125,142.942,1.22356,-142.978
34875,125,143.291,1.48196,-143.333
35125,125,144.021,1.80762,-144.072
35375,125,145.216,2.21706,-145.277
35625,125,147.914,2.72675,-147.989
35875,125,149.279,3.35352,-149.37
36125,125,149.861,4.12046,-149.972
36375,125,150.224,5.05389,-150.358
36625,125,151.03,6.1813,-151.194
36875,125,152.028,7.53016,-152.227
37125,125,153.02,9.13004,-153.259
37375,125,153.764,11.016,-154.052
37625,125,154.217,13.2221,-154.562
37875,125,154.12,15.7902,-154.53
38125,125,155.115,18.7625,-155.601
38375,125,156.384,22.1705,-156.957
38625,125,157.642,26.0457,-158.313
38875,125,158.588,30.4175,-159.369
39125,125,159.347,35.3138,-160.25
39375,125,159.888,40.76,-160.928
39625,125,160.414,46.7753,-161.606
39875,125,160.777,53.3724,-162.136
40125,125,160.919,60.5603,-162.459
40375,125,161.076,68.3391,-162.812
40625,125,161.539,76.6996,-163.485
40875,125,162.348,85.6229,-164.518
41125,125,163.466,95.0754,-165.872
41375,125,164.742,105.01,-167.396
41625,125,166.181,115.37,-169.09
