x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-5.34826e-07,-20
625,125,20,-1.61894e-06,-20
875,125,20,-2.74624e-06,-20
1125,125,20,-3.94478e-06,-20
1375,125,20,-5.24155e-06,-20
1625,125,20,-6.66202e-06,-20
1875,125,20,-8.22976e-06,-20
2125,125,20,-9.96605e-06,-20
2375,125,20,-1.18895e-05,-20
2625,125,20,-1.40159e-05,-20
2875,125,20,-1.63577e-05,-20
3125,125,20,-1.89242e-05,-20
3375,125,20,-2.17211e-05,-20
3625,125,20,-2.47508e-05,-20
3875,125,20,-2.80124e-05,-20
4125,125,21.0057,-2.60781e-05,-21.0057
4375,125,23.0257,-2.54604e-05,-23.0257
4625,125,24.3499,-3.30683e-05,-24.3499
4875,125,25.3049,-2.4055e-05,-25.3049
5125,125,25.9802,1.00628e-06,-25.9802
5375,125,27.0448,2.36101e-05,-27.0448
5625,125,28.4558,3.44708e-05,-28.4558
5875,125,30.234,2.15293e-05,-30.234
6125,125,32.9776,7.22723e-06,-32.9776
6375,125,35.2843,6.7272e-06,-35.2843
6625,125,37.0547,-1.00291e-05,-37.0547
6875,125,37.3778,-2.1809e-05,-37.3778
7125,125,38.6646,-5.05615e-06,-38.6646
7375,125,40.2267,-8.80695e-06,-40.2267
7625,125,41.2595,-3.08264e-05,-41.2595
7875,125,41.5234,-1.28357e-05,-41.5234
8125,125,41.7932,-9.16401e-07,-41.7932
8375,125,42.7942,5.2078e-07,-42.7942
8625,125,44.3591,5.92594e-05,-44.3591
8875,125,45.5234,0.000506924,-45.5234
9125,125,45.5234,0.00138865,-45.5234
9375,125,46.3686,0.00236363,-46.3688
9625,125,48.3833,0.00337168,-48.3835
9875,125,52.1279,0.00451159,-52.1282
10125,125,53.4469,0.00624606,-53.4473
10375,125,54.6152,0.00894701,-54.6156
10625,125,55.9709,0.01212,-55.9716
10875,125,57.937,0.0152156,-57.9378
11125,125,59.3323,0.0182659,-59.3332
11375,125,60.0419,0.0213505,-60.0429
11625,125,61.6838,0.0244677,-61.685
11875,125,63.3474,0.0276131,-63.3487
12125,125,64.9832,0.0297396,-64.9847
12375,125,65.6928,0.0308646,-65.6944
12625,125,68.4805,0.0320953,-68.4823
12875,125,72.4949,0.0336519,-72.4967
13125,125,73.2045,0.035522,-73.2065
13375,125,73.714,0.0375849,-73.7161
13625,125,74.3339,0.0405191,-74.3361
13875,125,76.3359,0.0454628,-76.3382
14125,125,77.7314,0.0516741,-77.734
14375,125,79.1355,0.0580918,-79.1383
14625,125,81.8153,0.0647238,-81.8184
14875,125,83.5425,0.0713305,-83.5458
15125,125,84.8905,0.0779959,-84.894
15375,125,86.2144,0.0846322,-86.2182
15625,125,87.8113,0.0913894,-87.8154
15875,125,89.2999,0.0983832,-89.3041
16125,125,90.3325,0.105345,-90.337
16375,125,91.9206,0.112181,-91.9254
16625,125,93.8538,0.118977,-93.8587
16875,125,96.2105,0.126039,-96.2157
17125,125,98.0055,0.133157,-98.0109
17375,125,99.7035,0.140178,-99.7092
17625,125,101.382,0.147206,-101.388
17875,125,102.764,0.154338,-102.77
18125,125,104.407,0.161459,-104.413
18375,125,106.409,0.168436,-106.415
18625,125,108.128,0.175338,-108.135
18875,125,109.328,0.182045,-109.335
19125,125,110,0.188467,-110.008
19375,125,110.387,0.194819,-110.394
19625,125,111.301,0.20133,-111.309
19875,125,112.607,0.207935,-112.615
20125,125,113.253,0.214539,-113.261
20375,125,113.899,0.221174,-113.908
20625,125,114.754,0.227999,-114.762
20875,125,117.142,0.236255,-117.151
21125,125,119.094,0.246683,-119.103
21375,125,120.684,0.258565,-120.693
21625,125,121.685,0.272365,-121.694
21875,125,122.236,0.287512,-122.246
22125,125,122.655,0.302744,-122.665
22375,125,123.301,0.318269,-123.311
22625,125,123.729,0.335244,-123.741
22875,125,124.171,0.355111,-124.183
23125,125,124.848,0.379029,-124.861
23375,125,124.987,0.408427,-125
23625,125,125.202,0.445355,-125.217
23875,125,125.879,0.492457,-125.895
24125,125,126.555,0.552293,-126.573
24375,125,127.231,0.628197,-127.25
24625,125,127.906,0.724387,-127.928
24875,125,127.974,0.845482,-128
25125,125,128.119,0.997623,-128.149
25375,125,128.469,1.18796,-128.504
25625,125,129.092,1.42422,-129.134
25875,125,129.745,1.71597,-129.795
26125,125,130.413,2.07541,-130.473
26375,125,131.079,2.51618,-131.151
26625,125,131.926,3.05262,-132.013
26875,125,132.94,3.70051,-133.044
27125,125,133.92,4.47874,-134.046
27375,125,134.913,5.40675,-135.065
27625,125,135.883,6.50387,-136.064
27875,125,136.526,7.79204,-136.742
28125,125,137.163,9.29457,-137.42
28375,125,137.696,11.0361,-138
28625,125,137.641,13.043,-138
28875,125,137.795,15.3418,-138.216
29125,125,137.984,17.957,-138.477
29375,125,137.904,20.9133,-138.477
29625,125,137.813,24.2356,-138.477
29875,125,137.712,27.9439,-138.477
30125,125,137.599,32.0601,-138.477
30375,125,137.724,36.6037,-138.725
30625,125,137.815,41.5836,-138.953
30875,125,137.667,47.0059,-138.953
31125,125,137.506,52.8749,-138.953
31375,125,137.332,59.1871,-138.953
31625,125,137.145,65.933,-138.953
31875,125,136.947,73.0992,-138.953
32125,125,136.865,80.6634,-139.081
32375,125,136.969,88.5907,-139.404
32625,125,137.39,96.8316,-140.053
32875,125,137.532,105.328,-140.43
33125,125,137.291,114.024,-140.43
33375,125,137.704,122.844,-141.087
33625,125,137.802,131.683,-141.43
33875,125,137.566,140.44,-141.437
34125,125,137.683,148.988,-141.791
34375,125,137.987,157.176,-142.322
34625,125,138.431,164.833,-142.978
34875,125,138.595,171.766,-143.333
35125,125,139.17,177.756,-144.072
35375,125,140.247,182.552,-145.277
35625,125,142.875,185.871,-147.989
35875,125,144.22,187.42,-149.37
36125,125,144.843,186.902,-149.972
36375,125,145.316,183.989,-150.358
36625,125,146.312,178.352,-151.194
36875,125,147.587,169.691,-152.227
37125,125,148.947,157.772,-153.259
37375,125,150.156,142.441,-154.052
37625,125,151.171,123.664,-154.562
37875,125,151.729,101.518,-154.53
38125,125,153.465,76.2581,-155.601
38375,125,155.544,48.3777,-156.957
38625,125,157.664,18.5326,-158.313
38875,125,159.504,-12.5035,-159.369
39125,125,161.17,-43.891,-160.25
39375,125,162.611,-74.7787,-160.928
39625,125,164.014,-104.36,-161.606
39875,125,165.213,-131.92,-162.136
40125,125,166.139,-156.891,-162.459
40375,125,167.02,-178.859,-162.812
40625,125,168.14,-197.567,-163.485
40875,125,169.536,-212.904,-164.518
41125,125,171.171,-224.89,-165.872
41375,125,172.897,-233.644,-167.396
41625,125,174.721,-239.364,-169.09
41875,125,176.818,-242.294,-171.124
42125,125,178.855,-242.709,-173.158
42375,125,180.617,-240.896,-174.969
42625,125,180.196,-237.136,-174.646
42875,125,180.536,-231.679,-175.124
43125,125,181.835,-224.76,-176.592
43375,125,186.065,-216.632,-181.015
43625,125,187.764,-207.553,-182.93
43875,125,188.208,-197.728,-183.608
44125,125,188.638,-187.337,-184.286
44375,125,189.291,-176.547,-185.197
44625,125,190.037,-165.516,-186.206
44875,125,190.806,-154.37,-187.238
45125,125,193.912,-143.24,-190.607
45375,125,196.117,-132.281,-193.068
45625,125,194.477,-121.566,-191.68
45875,125,196.495,-111.155,-193.943
46125,125,198.549,-101.152,-196.23
46375,125,199.131,-91.6034,-197.036
46625,125,201.891,-82.5523,-200.005
46875,125,203.983,-74.0524,-202.292
47125,125,204.542,-66.1131,-203.034
47375,125,206.809,-58.7439,-205.47
47625,125,207.961,-51.9656,-206.777
47875,125,207.528,-45.7444,-206.485
48125,125,212.742,-40.0667,-211.827
48375,125,216.521,-34.9368,-215.72
48625,125,218.552,-30.3295,-217.852
48875,125,215.685,-26.2074,-215.077
49125,125,213.106,-22.5314,-212.581
49375,125,211.091,-19.2669,-210.64
49625,125,213.383,-16.3765,-212.997
49875,125,221.172,-13.8292,-220.842
50125,125,231.441,-11.6024,-231.159
50375,125,232.337,-9.65612,-232.096
50625,125,230.242,-7.94941,-230.037
50875,125,226.841,-6.45335,-226.669
51125,125,225.133,-5.14158,-224.99
51375,125,224.819,-3.99473,-224.701
51625,125,225.566,-2.99149,-225.47
51875,125,227.903,-2.11345,-227.827
52125,125,231.78,-1.34609,-231.722
52375,125,235.552,-0.674776,-235.51
52625,125,237.604,-0.0874209,-237.575
52875,125,240.145,0.427255,-240.129
53125,125,242.628,0.877869,-242.623
53375,125,244.715,1.27055,-244.721
53625,125,249.312,1.6116,-249.327
53875,125,252.512,1.90511,-252.535
54125,125,252.535,2.15567,-252.567
54375,125,254.09,2.3688,-254.129
54625,125,257.899,2.55041,-257.944
54875,125,264.577,2.70429,-264.629
55125,125,270.401,2.83233,-270.458
55375,125,274.401,2.93647,-274.463
55625,125,276.399,3.01791,-276.465
55875,125,275.41,3.07905,-275.481
56125,125,275.63,3.12187,-275.704
56375,125,277.027,3.15206,-277.105
56625,125,279.381,3.17602,-279.462
56875,125,283.482,3.19068,-283.565
57125,125,288.647,3.19868,-288.733
57375,125,291.357,3.20461,-291.445
57625,125,295.308,3.21307,-295.397
57875,125,299.941,3.22232,-300.031
58125,125,304.104,3.23253,-304.194
58375,125,310.018,3.24542,-310.109
58625,125,316.333,3.25925,-316.424
58875,125,320.724,3.28006,-320.815
59125,125,323.42,3.30656,-323.51
59375,125,325.944,3.33755,-326.033
59625,125,329.981,3.37509,-330.069
59875,125,332.453,3.41787,-332.541
60125,125,334.371,3.46442,-334.457
60375,125,336.084,3.51911,-336.168
60625,125,337.77,3.58303,-337.852
60875,125,339.808,3.65574,-339.887
61125,125,342.522,3.73765,-342.599
61375,125,345.237,3.82559,-345.311
61625,125,348.231,3.91987,-348.303
61875,125,351.656,4.02348,-351.724
62125,125,354.755,4.13832,-354.82
62375,125,357.71,4.26347,-357.771
62625,125,360.521,4.39787,-360.578
62875,125,366.152,4.54412,-366.204
63125,125,371.871,4.70209,-371.92
63375,125,377.512,4.87264,-377.556
63625,125,379.195,5.05523,-379.235
63875,125,379.965,5.2429,-380
64125,125,380.3,5.43312,-380.33
64375,125,385.051,5.62872,-385.075
64625,125,389.802,5.82647,-389.821
64875,125,394.472,6.02192,-394.486
65125,125,398.545,6.21695,-398.554
65375,125,402.846,6.41321,-402.85
65625,125,407.564,6.61109,-407.563
65875,125,413.703,6.81059,-413.696
66125,125,420.738,7.0083,-420.727
66375,125,427.283,7.19999,-427.267
66625,125,430.678,7.38492,-430.657
66875,125,434.072,7.56095,-434.047
67125,125,437.275,7.7261,-437.246
67375,125,439.959,7.88038,-439.926
67625,125,443.489,8.02122,-443.452
67875,125,447.238,8.14726,-447.196
68125,125,450.986,8.25863,-450.941
68375,125,454.98,8.35372,-454.932
68625,125,458.768,8.43245,-458.717
68875,125,462.129,8.49533,-462.075
69125,125,463.841,8.54198,-463.785
69375,125,465.304,8.57216,-465.246
69625,125,466.694,8.58439,-466.634
69875,125,467.778,8.58247,-467.716
70125,125,469.799,8.56813,-469.736
70375,125,472.898,8.54232,-472.834
70625,125,472.084,8.50557,-472.019
70875,125,473.914,8.45413,-473.849
71125,125,478.201,8.38839,-478.135
71375,125,482.3,8.31008,-482.235
71625,125,486.363,8.21976,-486.298
71875,125,490.533,8.11735,-490.468
72125,125,495.988,8.00577,-495.924
72375,125,501.223,7.8851,-501.16
72625,125,506.272,7.75582,-506.209
72875,125,511.017,7.62159,-510.955
73125,125,515.546,7.47503,-515.484
73375,125,519.898,7.31527,-519.838
73625,125,523.965,7.15388,-523.906
73875,125,528.265,6.99297,-528.206
74125,125,532.497,6.83029,-532.439
74375,125,536.24,6.66717,-536.184
74625,125,539.984,6.51329,-539.928
74875,125,543.719,6.37843,-543.664
75125,125,547.431,6.258,-547.377
75375,125,551.169,6.14032,-551.115
75625,125,554.913,6.02815,-554.86
75875,125,558.657,5.92306,-558.605
76125,125,562.373,5.82003,-562.322
76375,125,565.957,5.71622,-565.907
76625,125,569.346,5.60701,-569.297
76875,125,573.358,5.4951,-573.31
77125,125,577.424,5.38088,-577.378
77375,125,581.491,5.26355,-581.446
77625,125,584.9,5.1452,-584.857
77875,125,588.624,5.02679,-588.582
78125,125,592.69,4.90782,-592.649
78375,125,596.757,4.78582,-596.717
78625,125,600.824,4.66145,-600.785
78875,125,604.89,4.53591,-604.853
79125,125,608.957,4.41069,-608.921
79375,125,613.023,4.2869,-612.988
79625,125,617.132,4.16298,-617.099
79875,125,621.554,4.03867,-621.521
80125,125,626.433,3.91383,-626.401
80375,125,631.739,3.78956,-631.709
80625,125,637.903,3.6653,-637.874
80875,125,644.225,3.54004,-644.197
81125,125,650.404,3.41414,-650.378
81375,125,655.827,3.28828,-655.801
81625,125,659.976,3.16207,-659.952
81875,125,663.966,3.03293,-663.943
82125,125,668.71,2.90257,-668.689
82375,125,676.918,2.77003,-676.897
82625,125,685.702,2.62909,-685.682
82875,125,693.804,2.4793,-693.786
83125,125,696.781,2.32541,-696.764
83375,125,700.065,2.17122,-700.051
83625,125,705.487,2.01591,-705.474
83875,125,708.802,1.85901,-708.79
84125,125,712.287,1.70175,-712.277
84375,125,716.353,1.54365,-716.344
84625,125,719.139,1.38581,-719.132
84875,125,721.364,1.22895,-721.359
85125,125,723.042,1.0705,-723.038
85375,125,725.104,0.912158,-725.101
85625,125,728.04,0.754191,-728.039
85875,125,731.844,0.594682,-731.844
86125,125,736.943,0.436006,-736.945
86375,125,743.99,0.28232,-743.994
86625,125,752.252,0.134553,-752.257
86875,125,758.029,-0.00644045,-758.035
87125,125,766.507,-0.142314,-766.514
87375,125,775.767,-0.277243,-775.775
87625,125,779.833,-0.411738,-779.843
87875,125,787.985,-0.546079,-787.995
88125,125,797.098,-0.680676,-797.11
88375,125,801.843,-0.814601,-801.856
88625,125,807.075,-0.944525,-807.09
88875,125,812.08,-1.06341,-812.095
89125,125,815.792,-1.16834,-815.808
89375,125,820.299,-1.26777,-820.316
89625,125,824.245,-1.36204,-824.263
89875,125,826.279,-1.44075,-826.297
90125,125,831.355,-1.50921,-831.373
90375,125,835.944,-1.57209,-835.963
90625,125,838.333,-1.62015,-838.352
90875,125,843.669,-1.65493,-843.688
91125,125,848.9,-1.67691,-848.919
91375,125,853.291,-1.68716,-853.31
91625,125,859.879,-1.69018,-859.898
91875,125,865.31,-1.68255,-865.328
92125,125,869.055,-1.65895,-869.073
