x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-4.97446e-07,-20
625,125,20,-1.50736e-06,-20
875,125,20,-2.56211e-06,-20
1125,125,20,-3.69087e-06,-20
1375,125,20,-4.9217e-06,-20
1625,125,20,-6.28115e-06,-20
1875,125,20,-7.79379e-06,-20
2125,125,20,-9.48182e-06,-20
2375,125,20,-1.13647e-05,-20
2625,125,20,-1.34587e-05,-20
2875,125,20,-1.57769e-05,-20
3125,125,20,-1.83287e-05,-20
3375,125,20,-2.11199e-05,-20
3625,125,20,-2.41525e-05,-20
3875,125,20,-2.74253e-05,-20
4125,125,21.0057,-2.55097e-05,-21.0057
4375,125,23.0257,-2.49165e-05,-23.0257
4625,125,24.3499,-3.25537e-05,-24.3499
4875,125,25.3049,-2.35739e-05,-25.3049
5125,125,25.9802,1.45022e-06,-25.9802
5375,125,27.0448,2.40139e-05,-27.0448
5625,125,28.4558,3.48323e-05,-28.4558
5875,125,30.234,2.1847e-05,-30.234
6125,125,32.9776,7.5007e-06,-32.9776
6375,125,35.2843,6.95645e-06,-35.2843
6625,125,37.0547,-9.84394e-06,-37.0547
6875,125,37.3778,-2.16679e-05,-37.3778
7125,125,38.6646,-4.95864e-06,-38.6646
7375,125,40.2267,-8.75207e-06,-40.2267
7625,125,41.2595,-3.08199e-05,-41.2595
7875,125,41.5234,-1.29558e-05,-41.5234
8125,125,41.7932,-1.93605e-06,-41.7932
8375,125,42.7942,-8.59024e-06,-42.7942
8625,125,44.3591,-2.54561e-05,-44.3591
8875,125,45.5234,-3.62209e-05,-45.5234
9125,125,45.5234,-9.33275e-06,-45.5234
9375,125,46.3688,1.3149e-05,-46.3688
9625,125,48.3835,2.54051e-05,-48.3835
9875,125,52.1282,2.63276e-05,-52.1282
10125,125,53.4473,3.79684e-05,-53.4473
10375,125,54.6156,4.15181e-05,-54.6156
10625,125,55.9716,8.3155e-06,-55.9716
10875,125,57.9378,1.43128e-05,-57.9378
11125,125,59.3332,5.84246e-05,-59.3332
11375,125,60.0429,7.37894e-05,-60.0429
11625,125,61.685,5.97287e-05,-61.685
11875,125,63.3487,0.000118701,-63.3487
12125,125,64.9847,0.000695903,-64.9847
12375,125,65.6943,0.00218719,-65.6944
12625,125,68.4821,0.00417079,-68.4823
12875,125,72.4964,0.00613657,-72.4967
13125,125,73.206,0.00804054,-73.2065
13375,125,73.7155,0.00985941,-73.7161
13625,125,74.3354,0.0117746,-74.3361
13875,125,76.3375,0.0137328,-76.3382
14125,125,77.7332,0.0156729,-77.734
14375,125,79.1374,0.0177611,-79.1383
14625,125,81.8174,0.0199141,-81.8184
14875,125,83.5447,0.0220437,-83.5458
15125,125,84.8928,0.0241038,-84.894
15375,125,86.2168,0.0262635,-86.2182
15625,125,87.8139,0.0284895,-87.8154
