x,y,height,momentum_x
0.5,0.5,0.997536,-0.790331
1.5,0.5,0.993396,-0.774158
2.5,0.5,0.985556,-0.743774
3.5,0.5,0.973152,-0.696339
4.5,0.5,0.956115,-0.632436
5.5,0.5,0.935115,-0.555634
6.5,0.5,0.911262,-0.471044
7.5,0.5,0.885839,-0.38399
8.5,0.5,0.860148,-0.299294
9.5,0.5,0.83547,-0.22106
10.5,0.5,0.813051,-0.152656
11.5,0.5,0.794038,-0.0966509
12.5,0.5,0.779302,-0.0545317
13.5,0.5,0.769168,-0.0262417
14.5,0.5,0.763202,-0.00989402
15.5,0.5,0.760329,-0.00216665
16.5,0.5,0.75927,0.000562686
17.5,0.5,0.759019,0.00106426
18.5,0.5,0.75902,0.000852829
19.5,0.5,0.759059,0.000507488
20.5,0.5,0.759082,0.000166201
21.5,0.5,0.759082,-0.000166412
22.5,0.5,0.759059,-0.00050762
23.5,0.5,0.75902,-0.000852869
24.5,0.5,0.759019,-0.00106433
25.5,0.5,0.75927,-0.000562669
26.5,0.5,0.760329,0.00216673
27.5,0.5,0.763202,0.00989402
28.5,0.5,0.769168,0.0262418
29.5,0.5,0.779302,0.0545318
30.5,0.5,0.794038,0.0966509
31.5,0.5,0.813051,0.152656
32.5,0.5,0.83547,0.22106
33.5,0.5,0.860148,0.299294
34.5,0.5,0.885839,0.38399
35.5,0.5,0.911262,0.471044
36.5,0.5,0.935115,0.555634
37.5,0.5,0.956115,0.632436
38.5,0.5,0.973151,0.696339
39.5,0.5,0.985553,0.743779
